timestamp,code,side,price,qty,reason,pnl,holding_days,return_pct
2020-08-17,RVNL.NS,buy,22.9229,2181.0,signal,0.0,0,0.0
2020-09-07,RVNL.NS,sell,21.0789,2181.0,signal,-4021.7623,21,-8.04
2020-12-04,RVNL.NS,buy,23.974,2076.0,signal,0.0,0,0.0
2020-12-11,RVNL.NS,sell,21.978,2076.0,signal,-4143.5938,7,-8.33
2021-01-06,RVNL.NS,buy,27.7777,1784.0,signal,0.0,0,0.0
2021-01-25,RVNL.NS,sell,29.2707,1784.0,signal,2663.4214,19,5.37
2021-06-15,RVNL.NS,buy,33.8338,1469.0,signal,0.0,0,0.0
2021-07-19,RVNL.NS,sell,31.3686,1469.0,signal,-3621.3782,34,-7.29
2021-10-19,RVNL.NS,buy,34.4344,1438.0,signal,0.0,0,0.0
2021-11-01,RVNL.NS,sell,35.8641,1438.0,signal,2055.9086,13,4.15
2022-09-22,RVNL.NS,buy,34.5345,1436.0,signal,0.0,0,0.0
2022-09-29,RVNL.NS,sell,33.4665,1436.0,signal,-1533.648,7,-3.09
2022-10-11,RVNL.NS,buy,38.7387,1278.0,signal,0.0,0,0.0
2022-12-12,RVNL.NS,sell,66.4335,1278.0,signal,35393.9534,62,71.49
2023-01-13,RVNL.NS,buy,77.8778,658.0,signal,0.0,0,0.0
2023-02-06,RVNL.NS,sell,72.6773,658.0,signal,-3421.9639,24,-6.68
2023-04-25,RVNL.NS,buy,88.7887,575.0,signal,0.0,0,0.0
2023-05-22,RVNL.NS,sell,116.3835,575.0,signal,15867.0118,27,31.08
2023-09-04,RVNL.NS,buy,143.143,362.0,signal,0.0,0,0.0
2023-10-05,RVNL.NS,sell,171.9279,362.0,signal,10420.136,31,20.11
2023-12-05,RVNL.NS,buy,173.4733,302.0,signal,0.0,0,0.0
2024-02-13,RVNL.NS,sell,228.2715,302.0,signal,16549.0555,70,31.59
2024-05-22,RVNL.NS,buy,343.343,155.0,signal,0.0,0,0.0
2024-08-09,RVNL.NS,sell,537.462,155.0,signal,30088.445,79,56.54
2024-09-02,RVNL.NS,buy,611.1105,89.0,signal,0.0,0,0.0
2024-09-10,RVNL.NS,sell,569.3301,89.0,signal,-3718.4534,8,-6.84
